date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:40	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Aug%202023%2013:37:00%20GMT	http://solidcoinsfx.world/robots.txt		(from )
14:36:43	70238/70238	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2013:37:00%20GMT	http://solidcoinsfx.world/	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/index.html	(from )
14:36:45	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Aug%202023%2013:37:05%20GMT	http://solidcoinsfx.world/%e2%80%9chttps://www.smartsupp.com%e2%80%9d	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/%e2%80%9chttps_/www.smartsupp.com%e2%80%9d	(from http://solidcoinsfx.world/)
14:36:45	19608/19608	---MCZ	200	added ('OK')	application/javascript	etag:W/%22649d0db8-4c98%22	https://www.smartsuppchat.com/loader.js?	C:/Users/Miracle/Desktop/portfollio/investment/www.smartsuppchat.com/loaderd41d.js	(from http://solidcoinsfx.world/)
14:36:46	24692/24692	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Apr%202018%2018:53:48%20GMT	http://solidcoinsfx.world/assets/favicons/apple-touch-icon.png	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/favicons/apple-touch-icon.png	(from http://solidcoinsfx.world/)
14:36:46	2469/2469	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Apr%202018%2018:53:48%20GMT	http://solidcoinsfx.world/assets/favicons/favicon-32x32.png	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/favicons/favicon-32x32.png	(from http://solidcoinsfx.world/)
14:36:47	1269/1269	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Apr%202018%2018:53:48%20GMT	http://solidcoinsfx.world/assets/favicons/favicon-16x16.png	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/favicons/favicon-16x16.png	(from http://solidcoinsfx.world/)
14:36:47	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Aug%202023%2013:37:07%20GMT	http://solidcoinsfx.world/assets/favicons/site.webmanifest	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/favicons/site.webmanifest	(from http://solidcoinsfx.world/)
14:36:47	594/594	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20Apr%202018%2018:53:48%20GMT	http://solidcoinsfx.world/assets/favicons/safari-pinned-tab.svg	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/favicons/safari-pinned-tab.svg	(from http://solidcoinsfx.world/)
14:36:48	635/635	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/fontawesome-free-5.0.8/css/fa-brands.min.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/fontawesome-free-5.0.8/css/fa-brands.min.css	(from http://solidcoinsfx.world/)
14:36:49	35376/35376	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/fontawesome-free-5.0.8/css/fontawesome-all.min.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/fontawesome-free-5.0.8/css/fontawesome-all.min.css	(from http://solidcoinsfx.world/)
14:36:50	33688/33688	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/flag-icon/css/flag-icon.min.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/flag-icon/css/flag-icon.min.css	(from http://solidcoinsfx.world/)
14:36:51	782/782	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/ResponsiveTables/ng_responsive_tables.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/ResponsiveTables/ng_responsive_tables.css	(from http://solidcoinsfx.world/)
14:36:51	13051/13051	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/bootstrap-sweetalert/sweetalert.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/bootstrap-sweetalert/sweetalert.css	(from http://solidcoinsfx.world/)
14:36:52	6951/6951	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/magnific-popup/magnific-popup.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/magnific-popup/magnific-popup.css	(from http://solidcoinsfx.world/)
14:36:52	10731/10731	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/jQueryFormStyler/jquery.formstyler.theme.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/jQueryFormStyler/jquery.formstyler.theme.css	(from http://solidcoinsfx.world/)
14:36:53	2175/2175	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/jQueryFormStyler/jquery.formstyler.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/jQueryFormStyler/jquery.formstyler.css	(from http://solidcoinsfx.world/)
14:36:53	52789/52789	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/animate.css/animate.min.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/animate.css/animate.min.css	(from http://solidcoinsfx.world/)
14:36:54	3147/3147	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/slick/slick-theme.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/slick/slick-theme.css	(from http://solidcoinsfx.world/)
14:36:55	1776/1776	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/slick/slick.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/slick/slick.css	(from http://solidcoinsfx.world/)
14:36:55	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Aug%202023%2013:37:15%20GMT	http://solidcoinsfx.world/jivosite/jivosite.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/jivosite/jivosite.css	(from http://solidcoinsfx.world/)
14:36:56	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Aug%202023%2013:37:16%20GMT	http://solidcoinsfx.world/jivosite/jivosite.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/jivosite/jivosite.js	(from http://solidcoinsfx.world/)
14:36:57	10334/10334	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2001:58:17%20GMT	http://solidcoinsfx.world/assets/css/custom.css	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/css/custom.css	(from http://solidcoinsfx.world/)
